,Author,Title,Poem,Category
92,Mand,Elephant Child,"
	Silently, under cover of darkness
	an elephant child is born.
	He feels the comfort of his mothers trunk
	as he blinks in the first light of dawn.
	The monkeys cry “it’s a boy, it’s a boy,
	and look at him isn’t he cute”.
	A male gorilla drum beats his chest,
	and the bonobo throws them some fruit.
	The forest is filled with lively chatter,
	from excitable chimpanzees.
	Juvenile Infants play peek-a-boo
	while their mothers watch from the trees.
	How caring she is with her progeny,
	encouraging him up to her teat.
	Kneeling beside him to give him support,
	gently nudging him up to his feet.
	A colorful sun bird sings from a branch,
	to welcome the new baby calf.
	While a pack of spotty hyena’s skulk;
	suppressing their sinister laugh.
	Two marble eyed gecko’s stop on a leaf
	and chirp in the foliage green.
	Until they spy a juicy fat beetle
	and scurry away from the scene.
	He’s greeted by a fanfare of trumpets
	and caressed by his next of kin.
	He stands between pillars of concrete strength,
	‘neath a fortress of suckle soft skin.
	His brothers, sisters, aunties and uncles
	hurry to his aid when he calls.
	Each of them keep him safely protected
	and secure within fortified walls.
	His father walks away from the forest,
	smiling with his gentle brown eyes.
	He gives a last look, then disappears,
	Into the shimmering haze of sunrise.
	Silently, under cover of darkness

	an elephant child is born.

	He feels the comfort of his mothers trunk

	as he blinks in the first light of dawn.

	 

	The monkeys cry “it’s a boy, it’s a boy,

	and look at him isn’t he cute”.

	A male gorilla drum beats his chest,

	and the bonobo throws them some fruit.

	 

	The forest is filled with lively chatter,

	from excitable chimpanzees.

	Juvenile Infants play peek-a-boo

	while their mothers watch from the trees.

	 

	How caring she is with her progeny,

	encouraging him up to her teat.

	Kneeling beside him to give him support,

	gently nudging him up to his feet.

	 

	A colorful sun bird sings from a branch,

	to welcome the new baby calf.

	While a pack of spotty hyena’s skulk;

	suppressing their sinister laugh.

	 

	Two marble eyed gecko’s stop on a leaf

	and chirp in the foliage green.

	Until they spy a juicy fat beetle

	and scurry away from the scene.

	 

	He’s greeted by a fanfare of trumpets

	and caressed by his next of kin.

	He stands between pillars of concrete strength,

	‘neath a fortress of suckle soft skin.

	 

	His brothers, sisters, aunties and uncles

	hurry to his aid when he calls.

	Each of them keep him safely protected

	and secure within fortified walls.

	 

	His father walks away from the forest,

	smiling with his gentle brown eyes.

	He gives a last look, then disappears,

	Into the shimmering haze of sunrise.Sad to say the WWF ( World Wildlife Fund ) endorse trophy hunting as a means of conservation - something I am very mush opposed to.  http://gu.com/p/3e9tc/sfb - After years of giving to WWF - I now give to animal charities who care and use their money to protect them not kill them!  http://www.africahunting.com/threads/position-on-trophy-hunting-of-the-wwf-south-africa.15048/ ©  on Oct 25 2012 10:54 AM, Amanda Newman    children  • love  • nature  • family     ",Nature
93,maryjollyzayas,Twilight,"
	Twilight moved across the meadow
	where all the wildflowers grew.
	She dipped her hand in stardust,
	sprinkling everything with dew.
	She flicked her fingers toward the roses
	careful not to touch a thorn.
	Roses bowed their heads and giggled
	petals soft as the new morn.
	The buttercup was not awake yet,
	she needed sunshine in her eyes.
	Twilight would let the morning wake her
	Dawn would be her new disguise.
	She'd change from lavender to crimson
	to blend in pink she'd use a wedge,
	For her glow she'd put some gold in
	dab it only round the edge.
	She'd tip-toe over the horizon,
	softly turning on her light.
	Flowers opening their eyes then
	Stretching stems in pure delight.
	Twilight moved across the meadow

	where all the wildflowers grew.

	She dipped her hand in stardust,

	sprinkling everything with dew.

	 

	She flicked her fingers toward the roses

	careful not to touch a thorn.

	Roses bowed their heads and giggled

	petals soft as the new morn.

	 

	The buttercup was not awake yet,

	she needed sunshine in her eyes.

	Twilight would let the morning wake her

	Dawn would be her new disguise.

	 

	She'd change from lavender to crimson

	to blend in pink she'd use a wedge,

	For her glow she'd put some gold in

	dab it only round the edge.

	 

	She'd tip-toe over the horizon,

	softly turning on her light.

	Flowers opening their eyes then

	Stretching stems in pure delight.

	 

	 

	  ©  on Sep 19 2014 11:53 PM, maryjollyzayas    nature  • thoughts     ",Nature
94,Neha S,when august knocked,"when august knocked on backyard door,
it was answered by the rain drenched feet,
and a fragrant July, that lingered on 
by the open door, for a scant retreat 

the tree tops bore the weight of clouds, 
framed silhouettes etched by sharpened pen,
on the backdrop of a gold-smeared sky,
with a strong promise of a clear night then

moon strolled freely, through the star-lit night
wrapped up snugly in a pink night chill 
caressed by the breeze that softly blows, 
 cradling brown leaves, before they're still 

-Neha 
August 12, 2104







",Nature
95,Virginia Archer,Into The Sun,"The flaming orange ball
shook off the horizon
and licked against the clouds
that skirted last night's edges.

I stood in the cool of the new grey
watching the tongue of the wind
tease waves with promises,
and let it wash over me
as the grass bent at my feet.

My eyes took it all in
while still clinging to the edges of dreams,
where your face 
said the lies my head knew
but my heart longed to grasp;
I dragged the night behind me
into the rising sun.",Nature
96,Lute,Nocturne,"Well you wouldn't think he had it in him
jerking off all night while he dreamt of murdering his mommy
who had sent him off to the nuns
to be beaten with sticks
while owl sang retched bones
rattle on the eave
& the cat twitched

just as morning rose a dull pink
and the rocket ship exploded with a dull roar
over on the other side of the moor

near Xanadu & the golden whores
that danced within the fairies wing

before the war 
& the different uncles' clothes
draped over furniture like dirty rugs
that smelled of unfamiliar places
where the alder all looked the same

where away the shame",Nature
97,Eternal Light,51 Things to be Happy About,"1.	Smell of baking cookies
2.	A sunbeam breaking through the clouds
3.	Grass tickling your feet
4.	Sparkling, shimmering ocean waves
5.	Fireworks bursting above a lake
6.	The view from the top of a city
7.	A bubbling stream
8.	Crashing waterfalls
9.	Colorful hot air balloons dotting the sky
10.	Sail boat sails fluttering in the wind
11.	Seeing someone you love smile
12.	Red packages with silver bows
13.	A crackling fireplace on a cold, winter day
14.	Snowflakes gently gliding to the ground
15.	Adding marshmallows to your hot cocoa
16.	A clear, cloudless sky
17.	The sun warming your skin
18.	A perfectly scooped ice cream cone
19.	Walking into a candy shop
20.	Bright red, juicy strawberries
21.	Roasting marshmallows around the campfire
22.	A star streaked night sky
23.	Summer cookouts
24. Receiving a smiley face sticker on a school assignment
25.	A dog’s twitching nose
26.	The floppy ears of a puppy
27.	Leaves crunching beneath your feet
28.	Picking and eating an apple straight off the tree
29.	Comfy, spinning office chairs
30.	The smell of a salty sea
31.	Watching a thunderstorm on the inside looking out
32.	A field of tulips
33.	Sheep grazing in a pasture
34. Topping an iced cupcake with sprinkles
35.	Listening to your favorite song on the radio
36.	Dark ink on white paper
37.	Lemonade stands
38.	A polka-dotted wall
39.	The softest blanket you’ve ever touched
40.	Finding the last piece of a puzzle
41.	Discovering the perfect font
42.	Walking bare foot on a plush carpet
43.	Buildings painted in vivid colors
44.	Movie theatre popcorn with extra butter
45.	Butterflies jumping from flower to flower
46.	Ducks paddling through the water
47.	Sizzling food at restaurants
48.	Holiday wrapping paper
49.	Salty pretzels dipped in sweet chocolate
50.	Laughter that echoes through a room
51.	Being here
Little things do matter.  Happiness can be found in them. ©  ",Nature
98,Linda Marshall,The Music of a Snow Storm,"
	Prompt - sound of a snow storm. I've tried hard to put together the prequel and the follow up although my main focus has been on rendering the actual storm itself. Hope it's OK!The wind shouts out of its breath, 

	the driven and bullied trees dance at its whip  

	then the heavens above are suddenly quiet 

	  

	before out of the silent marble throat of the grey sky 

	a soft melodious tinkle is heard, the delicate tone of a clarinet playing   

	  

	then the first diamonds of you fall softly through wafted air 

	with only the faintest tremor of murmurs as you descend on the exposed body of earth 

	  

	one, two, twenty flakes of you, then a sudden rush, a sharp crack of sound 

	with an outpouring of snow blossom and the whirling down of you  

	  

	on the branches of trees and rooftops of houses 

	where your whiteness settles with a gentle rapping 

	and your softness thuds on to the hardness below 

	  

	on pavements and soil the music you play is louder, 

	the clink of glasses touched together in a promise of warmth 

	  

	the flutter of snowflakes is lighter than the beating of wings, 

	a rich rustling through air yet flimsy as a sheet of transparent paper 

	  

	the stealth of the muffled traffic from air to ground sifting out points of weakness, 

	lying on the earth at last in a hush that froze and silenced the voices of birds, 

	the whispering leaves and branches, even the sound of talking deadened in the air,  

	and the utter stillness of its carpet of white once established, firm in its calm possession, 

	before the first footfalls trudge in upon its peace,  

	the purr of engines and the rhythm of wheels break that enforced quietness 

	  
	Prompt - sound of a snow storm. I've tried hard to put together the prequel and the follow up although my main focus has been on rendering the actual storm itself. Hope it's OK! ©  on Jan 27 2014 02:15 PM, Linda Marshall   contest  • nature     ",Nature
99,Linda Marshall,Nature and art,"
	'All nature is but art, unknown to thee' (Alexander Pope)  

	1 

	  

	the dancers pivot on a focal point, 

	sequins, glittering paste sparkling bright 

	as searchlights that illuminate their steps; 

	the blingfest and the endless cavalcade 

	of motion dizzies us. Unlike a print, 

	that represents a fixed scene of delight, 

	so that in infinite regress we stop 

	to trace its origin, here we avoid 

	quests for the source, content with moving life, 

	experienced first-hand within a brief 

	cameo moment rendered in 3-D 

	to imitate our long eternity 

	  

	2 

	  

	we move aside from artifice to view 

	the world of nature; hard against the cliffs 

	waves surge and pound and jostle, sculpt the rock 

	slowly to sand. The waterfalls trumpet 

	their joy, hurtling down the mountain's dough 

	of slippery stones and muddy earth, the refts 

	that all too easily we miss, the sick 

	awareness we've missed our moment's triumph 

	and the crag's peak's beyond us. Gardens grow 

	in soft promise, the soil tilled, tended 

	with fair assurance that the withered bough 

	and shrunken leaf will bloom once amended 

	  

	3 

	  

	the stony land blinks back at us in fear, 

	anxious that our hand may soon transform 

	its waste, its sterile absence, into life, 

	bring out of these dead roots new buds to bloom, 

	and turn the landscape into one that's fair 

	to gaze upon, an earth that's fresh and firm 

	with flowers and shrubs and trees and every leaf 

	awash with colour; the soft scent of lime 

	linger upon the air from planted trees, 

	and we survey the work of giving birth 

	to what was once a place of rank disease 

	rather than flourishing and lovely earth 

	  

	4 

	now winter light glows softly 

	measuring out its wavelengths 

	the silent wind and rain 

	leave nature stiff in absence 

	  

	and the small frost 

	turns perpetually  

	as the enchained earth 

	rotates about the sun 

	  

	inside the home 

	clocks imitate 

	the passage of the solar disc 

	waiting patiently for morning 

	  

	and when the natural lustre 

	fades, and evening lulls us 

	slowly towards sleep,  

	we imitate its glow with electric light 

	  

	  

	  
	'All nature is but art, unknown to thee' (Alexander Pope) ©  on Jan 18 2014 05:11 AM, Linda Marshall   contest  • nature     ",Nature
100,Linda Marshall,Tempest,"  

	the scouring gale buffets the trees 

	and drags their branches down by invisible ropes 

	across blue clefts of freezing air 

	and the withered leaves upon the boughs 

	crash on to the earth, the faded heads of flowers 

	ripped off and scattered in the voluminous air 

	  

	now all lies tangled, tousled as my hair 

	blown out of shape by the persistent wind 

	and only remembered broken blooms 

	sleep on the violated ground 

	  

	scattered, our sails of hope cannot outride 

	the tempest tearing everything around 

	and though our roots remain 

	the wind has twisted them till they become 

	no more than shattered shells upon the strand, 

	or veins of gold embedded in inaccessible rock 

	as the relentless air tumbles us into stillness 

	  

	now all around is quiet 
",Nature
101,Front Porch Muse, Roses and Apple Pie,"
	I remember last September's cinnamon smell
	triggering roses from July.
	Apple pie and ice
	cream socials, on court house lawns
	in the century gone.
	A casual world thrown into fast pace,
	into the winds of caution
	making new fashion, new definitions
	of old words
	like freedom.
	Apple pie and roses a house, a picket
	fence and a one car garage.
	Catapult forward past the roses and pie,
	extrapolating years, losing roses, finding
	orchids; leaving the apple pie for Tacos and beer.

	Cinnamon cider brewing over coals at 
	the camp, beans in the can near that.
	I await the chaotic winds coming
	ninety degrees left
	as I  face the sun.
	Path walking is a hobby, unpredictable
	as to its destination. If one follows their senses
	remembering September, then July
	it becomes as a tradition, ""the old Roses and Apple pie""
	I suppose I will follow my nose.
	Ajerry
	 
	Quipping 
	I remember last September's cinnamon smell
	triggering roses from July.

	Apple pie and ice
	cream socials, on court house lawns
	in the century gone.

	 

	A casual world thrown into fast pace,

	into the winds of caution
	making new fashion, new definitions

	of old words
	like freedom.

	 

	Apple pie and roses a house, a picket
	fence and a one car garage.

	Catapult forward past the roses and pie,

	extrapolating years, losing roses, finding

	orchids; leaving the apple pie for Tacos and beer.


	Cinnamon cider brewing over coals at 
	the camp, beans in the can near that.
	I await the chaotic winds coming
	ninety degrees left
	as I  face the sun.
	Path walking is a hobby, unpredictable
	as to its destination. If one follows their senses
	remembering September, then July

	it becomes as a tradition, ""the old Roses and Apple pie""
	I suppose I will follow my nose.

	 

	Ajerry
	 
	Quipping  ©  on Jan 11 2014 02:21 PM, Jerry Desbrow   life  • love  • nature  • society  • spiritual  • thoughts     ",Nature
102,Ron Wiseman,Day's Circle,"
	Very piecemeal those autumns
	were the comings, the goings
	of that time when days slowed
	till stars growing deep over
	far peaks had come for night
	and did not take leave again
	even as kookaburras chortled
	in the new day with dew
	and echoed down ridges
	their throaty, full song
	then stars paled, vanishing
	into some kind of glory
	called blue sky and clear
	mornings and are these
	wonderful things not ours
	to have and to hold but not
	for the touching as nature's
	too fragile to mess with
	and breezes blew for us
	when soon an old Lizzie
	wheezed into life, coughing
	and spluttering to heave
	from under dusty rafters
	to wake the neighbors
	splash into puddles and 
	out again with no guards 
	for the happy mud larking
	about and into our eyes 
	and then another morning
	noise, unnaturally natural
	grader scooping our gravel 
	road level in early shadows
	of white-limbed eucalypts
	yet we had not seen fire
	and flame of kingfishers
	disappearing in motor
	cycles, churning, churning,
	past the old Post Office,
	where boxes of mail piled
	one on another like days 
	of last year and the one
	before that one but still
	we did find out what had
	been happening by the bush
	telegraph if not by letter
	and soon it was afternoon 
	and we were all twenty years
	older with shadows haunting
	our faces and we had gone west
	farther and farther than we'd thought
	and farmers called cattle home
	then the fruit bats at evening swooped
	low over the out-of-town bush cemetery
	while silence, like a cloud, brooded. 
	54 lines of free verse.  Poem whose organic whole is an intended symbol. There are one or two images that hold that key.   Australian rural setting. 
	Caution by Wanda: Keep it a reasonable length. Moderation is key - somewhere between 25-75 lines.
	Very piecemeal those autumns

	were the comings, the goings

	of that time when days slowed

	 

	till stars growing deep over

	far peaks had come for night

	and did not take leave again

	 

	even as kookaburras chortled

	in the new day with dew

	and echoed down ridges

	 

	their throaty, full song

	then stars paled, vanishing

	into some kind of glory

	 

	called blue sky and clear

	mornings and are these

	wonderful things not ours

	 

	to have and to hold but not

	for the touching as nature's

	too fragile to mess with

	 

	and breezes blew for us

	when soon an old Lizzie

	wheezed into life, coughing

	 

	and spluttering to heave

	from under dusty rafters

	to wake the neighbors

	 

	splash into puddles and 

	out again with no guards 

	for the happy mud larking

	 

	about and into our eyes 

	and then another morning

	noise, unnaturally natural

	 

	grader scooping our gravel 

	road level in early shadows

	of white-limbed eucalypts

	 

	yet we had not seen fire

	and flame of kingfishers

	disappearing in motor

	 

	cycles, churning, churning,

	past the old Post Office,

	where boxes of mail piled

	 

	one on another like days 

	of last year and the one

	before that one but still

	 

	we did find out what had

	been happening by the bush

	telegraph if not by letter

	 

	and soon it was afternoon 

	and we were all twenty years

	older with shadows haunting

	 

	our faces and we had gone west

	farther and farther than we'd thought

	and farmers called cattle home

	 

	then the fruit bats at evening swooped

	low over the out-of-town bush cemetery

	while silence, like a cloud, brooded. 

	 

	 

	 
	54 lines of free verse.  Poem whose organic whole is an intended symbol. There are one or two images that hold that key.   Australian rural setting. 

	Caution by Wanda: Keep it a reasonable length. Moderation is key - somewhere between 25-75 lines.

	  ©  on Dec 20 2013 07:52 PM, Ron Wiseman    australian-setting  • free-verse  • imagistic  • life  • nature  • personal  • symbolic-whole  • thoughts     ",Nature
103,liquidmindforever,Bare Table," Matthew 6:19-24


    long ago
on this side of Marlowe's Mountain
in Appalachia, lost to the world, 
a lone
old veteran
living in the woods, found a stash of squirrel
acorns, fallen leaves, and an arms
length of rancid hunks of grizzly bone;

he stuffed the acorns into his tattered pocket
padded his bare blistered feet with moist peat
then dug around for the rusted fork he'd found
on the hardened ground, but couldn't find it;
(some critter musta' snatched it 
 some time ago, during winter's sleep)
   
    so he
stuck his chaffed and frost-bitten tongue
into a turkey vulture's leftover meal and sucked
the slimy blood-drenched marrow as best he could,
but it had dried.

    he lit
his last book of matches on some dried leaves
to warm himself, tossing a handful of acorns
into the mound of sizzling hissing leaves
so he could feed on nature's fare, fallen table.

    the old vet
knew treasure when he saw it - he knew
Nature could provide for him what mankind
never could - and that rusty old fork
(he seemed to have lost)
still lies gathering moss and rust
for the next sojourner, hungry
to taste the bare luxury of nature's table.






Matthew 6:19-24

English Standard Version (ESV)
Lay Up Treasures in Heaven

19 “Do not lay up for yourselves treasures on earth, where moth and rust[a] destroy and where thieves break in and steal, 20 but lay up for yourselves treasures in heaven, where neither moth nor rust destroys and where thieves do not break in and steal. 21 For where your treasure is, t ©  on Nov 30 2013 11:21 AM",Nature
104,Linda Marshall,Storm,"
	the intricate design of the charged clouds
	splays out with sprinkling fingers
	and buffets not only the swirling leaves
	but tumbles the branches, elbows them aside
	as they dip and sway in their windy galliard
	while birds seek tidy shelter from the tempestuous
	wooing the storm offers. As the rain’s glistening
	torrents descend, the fountains overflow
	and water gushes everywhere in an enormous promenade
	of unstoppable liquid. The still ponds
	are ruffled by the invasion of the rain
	and their smooth surface curled by the wind
	while the blushing heads of flowers are uprooted
	and, further out, along the churning river,
	moored houseboats sway like drunken revellers
	as the assault of wind and water
	tugs at the ties that bind them to the shore
	and the boats yield up their hard-won stasis
	to the invading storm,
	tossed and tousled, jostled, then finally jilted
	as, suddenly as its arrival, the storm departs
	Prompt - water/flood
	I hope my take of writing about a storm is acceptable
	the intricate design of the charged clouds

	splays out with sprinkling fingers

	and buffets not only the swirling leaves

	but tumbles the branches, elbows them aside

	as they dip and sway in their windy galliard

	while birds seek tidy shelter from the tempestuous

	wooing the storm offers. As the rain’s glistening

	torrents descend, the fountains overflow

	and water gushes everywhere in an enormous promenade

	of unstoppable liquid. The still ponds

	are ruffled by the invasion of the rain

	and their smooth surface curled by the wind

	while the blushing heads of flowers are uprooted

	and, further out, along the churning river,

	moored houseboats sway like drunken revellers

	as the assault of wind and water

	tugs at the ties that bind them to the shore

	and the boats yield up their hard-won stasis

	to the invading storm,

	tossed and tousled, jostled, then finally jilted

	as, suddenly as its arrival, the storm departs
	Prompt - water/flood

	 

	I hope my take of writing about a storm is acceptable ©  on Oct 24 2013 06:38 AM, Linda Marshall   contest  • nature     ",Nature
105,Lute,Part 10--To The River Merchant's Wife,"
	 

	""At sixteen you departed,

	you went into Ku-to-en, by the river of

	swirling eddies,

	and you have been gone five months,

	the monkeys make sorrowful noise

	overhead.

	 

	                                                     --E.P.

	 

	 

	 

	 

	 

	 

	 

	The tinkers are bothersome.

	 

	The river once was clean

	above the falls.

	Nothing grows anymore;

	that which was grass 

	is gone.

	 

	Such Hubris as the villagers cobbled

	together

	leans into the wind.

	The farthest journey that they take

	doesn't take them very far.

	Heaven, just beyond the bit of silk

	square

	hanging crookedly in the doorway

	where the bits of sun

	peep in disrespectfully

	fitful because of the grumbling clouds

	slipping sideways up and down.

	 

	But she has asked me of Love;

	such mornings as I have lost

	till the thrush and sparrow and doves

	clamor at my door

	and bid me sleep no more

	but gather up my songs

	my blunt quill and blotched papers.

	 

	Sextus, of course

	with his fine cane and silk brocade

	went at once to Father

	for the dowry money

	though he had already 

	pried your legs apart

	with fine oils and flowers

	at sixteen (of course)

	you did not know of wharf rats

	or even the fire in candlesticks

	and secretly you felt warm inside

	while I endured the scorn

	of traipsing up to Illium

	instead of hoeing corn.

	 

	At sixteen

	there were still buses and cars and

	trains(

	standing in the rain on the platform

	draped in heavy coat

	while heavy men cursed and

	blasphemed)

	admitting to such loneliness

	amid the twittering birds  the spirit 

	of such womanhood

	as you endured,

	botched of course

	with Sextus in tow.

	 

	I would not drag it up

	were you not so persistant

	this love that dried,

	not Sextus surely,

	but his form

	while you were in the back seat

	biting your lower lip

	at the passing farms and ships.

	Everything inviting nothing

	but your scorn,

	no matter the pretty houses

	set back from the road

	or the scattered fauna in the meadows.

	 

	It was very ancient, anyhow,

	pointless Sextus

	who pounded on the door

	just as you began to dream--

	 

	such veins were long ago,

	just as your lips are still bright red

	because you never gave it up;

	the rain dripping from the eaves

	dropping on the flowers below

	and I, with hat in hand

	well down the dusty road by now,

	sigh.

	 
	 

	excerpt, The Breaking of the Jewel

	 

	 

	 

	September 8, 2005. ©  on Aug 03 2013 05:52 AM, Tom E. Brady   personal  • life  • spiritual  • nature     ",Nature
106,tomisb,Crack of Dawn,"
	A cold clear drink, the sky:
	the first crash of light
	suddenly awakens
	the geese and begins melting
	the mist which had slept upon the lake. 
	Out of reach, the hawk
	circles. The murder of crows
	cacophony raises the neighbors in alarm.
	The hawk flexes
	his pinions, banks against the sunlight
	and in the sharp glint
	slices the sky. 
	Frogs disappear quickly into the pond.
	A squirrel stops in the center of the meadow
	surveys the wood, then races towards a tree.
	Climbs the oak like a child racing
	up a spiral staircase for the sheer joy of it. 
	Blow the steam off the coffee,
	brace myself for the burn
	the first acid sip.
	Finally, look at my watch.
	Time. Turn back to the house.
	Linger, a moment. “Come,”
	I tell myself, “reap the day.”
	7:51 PM
	05/28/13
	Porter Library
	 

	 

	 

	 

	A cold clear drink, the sky:

	the first crash of light

	suddenly awakens

	the geese and begins melting

	the mist which had slept upon the lake. 

	 

	Out of reach, the hawk

	circles. The murder of crows

	cacophony raises the neighbors in alarm.

	The hawk flexes

	his pinions, banks against the sunlight

	and in the sharp glint

	slices the sky. 

	 

	Frogs disappear quickly into the pond.

	A squirrel stops in the center of the meadow

	surveys the wood, then races towards a tree.

	Climbs the oak like a child racing

	up a spiral staircase for the sheer joy of it. 

	 

	Blow the steam off the coffee,

	brace myself for the burn

	the first acid sip.

	 

	Finally, look at my watch.

	Time. Turn back to the house.

	Linger, a moment. “Come,”

	I tell myself, “reap the day.”

	 

	 

	 

	 

	7:51 PM

	05/28/13

	Porter Library ©  on May 28 2013 06:47 PM, Thomas Burson    nature  • spiritual  • morning-song  • life     ",Nature
107,Linda Marshall,The Rising of the Moon,"
	out from the clouds
	slowly the moon
	thrust up from the cumulus waves
	and though she stood
	apart from the earth
	the tides of the sea
	and the tides of women
	felt her arrival
	the moon arose,
	leaning across the earth,
	her mild light falling
	on everything beneath,
	and her reflected light
	shone warmly
	on our little planet
	out from the clouds

	slowly the moon

	thrust up from the cumulus waves

	and though she stood

	apart from the earth

	the tides of the sea

	and the tides of women

	felt her arrival

	 

	the moon arose,

	leaning across the earth,

	her mild light falling

	on everything beneath,

	and her reflected light

	shone warmly

	on our little planet ©  on Apr 01 2013 06:21 AM, Linda Marshall   spiritual  • nature     ",Nature
108,deedeekm,The Speed of Sunset,"and the sky went screaming streaming
toward the darkness rising all around
the ground is melting in the heat of speed
the need to spin it, in it, go to any length
too far the stars are pulling us the moon and soon
the colors sink into the waters hiding light from sight
within the depths, the trees already soaking up the
black, we lack the stars but hope lies just beyond
the pond, the pool of fools of light of life",Nature
109,Purplegown,Winter Snow Glory,"
	Inside this cabin there is no grandeur to speak of
	A chandelier of ice sickles dangle from roof edge
	In the pale bleating of a far sun's call
	How mastered are these hills by snowflakes route
	The tired skin of green pulses beneath beating white
	Dark feathered crow of smoke releases his roll of flight
	From blond bricked chimney's keeper
	As toasted logs spit neon sparks to furnish fire
	But the window holds more value as the chilled gale glitters
	Such feasting are the sights and sounds of flurries multiplying
	No clouds swim in the even slate of gray satin sheath
	Trees stand lengthened like unlit cigars
	Eye buttons latch such captivations in their blessed sights
	Unloading are the down feathers of gravity's new face
	All rouged up flower blossoms still in the shell of glass ice
	Wooden fence gates hold landmarks with style and pride
	As the fruit of winter's season is harvested in cold
	May your belly be full with the freshness of this ivory stroll
	Amongst the tightly latched barn doors
	Where animals take rest of late summer's flush
	Farther out, beyond the welcome entrance of log built home
	Dunes of white construct the frailest pallor of sheen
	Like diamonds plucked from the wealth of nobility's rings
	We bow low with wonder and reverence for the power of snow
	And the blank threat of white whipped lanes
	Ice drops to seat themselves as winter blister
	Beneath the quilted plush of an opal wardrobe
	Frost bearded blades of light radiate
	And all is consumed by the bright of loose moons dangling
	Oh the glory of Winter's snow!
	 

	 

	 

	Inside this cabin there is no grandeur to speak of

	A chandelier of ice sickles dangle from roof edge

	In the pale bleating of a far sun's call

	How mastered are these hills by snowflakes route

	The tired skin of green pulses beneath beating white

	 

	Dark feathered crow of smoke releases his roll of flight

	From blond bricked chimney's keeper

	As toasted logs spit neon sparks to furnish fire

	But the window holds more value as the chilled gale glitters

	Such feasting are the sights and sounds of flurries multiplying

	 

	No clouds swim in the even slate of gray satin sheath

	Trees stand lengthened like unlit cigars

	Eye buttons latch such captivations in their blessed sights

	Unloading are the down feathers of gravity's new face

	All rouged up flower blossoms still in the shell of glass ice

	 

	Wooden fence gates hold landmarks with style and pride

	As the fruit of winter's season is harvested in cold

	May your belly be full with the freshness of this ivory stroll

	Amongst the tightly latched barn doors

	Where animals take rest of late summer's flush

	 

	Farther out, beyond the welcome entrance of log built home

	Dunes of white construct the frailest pallor of sheen

	Like diamonds plucked from the wealth of nobility's rings

	We bow low with wonder and reverence for the power of snow

	And the blank threat of white whipped lanes

	 

	Ice drops to seat themselves as winter blister

	Beneath the quilted plush of an opal wardrobe

	Frost bearded blades of light radiate

	And all is consumed by the bright of loose moons dangling

	Oh the glory of Winter's snow!

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	 

	  ©  on Nov 02 2012 04:59 PM, Julie Palmer Teets   nature  • contest     ",Nature
110,alongtheway,Living Color,"
	The ivy bends toward the gray,
	claws at the old brick--
	a red siren muffled by the years. 
	The dawn holds the stars for so long 
	before it sees the morning drain them from the day;  
	the first scene is a ground,
	sheets of ice sunk into the flattened grass
	and sweeping the pane,
	like a hand melting into spring
	trying to wipe the film of past storms,
	but gathering in the corners
	new vignettes.  
	His onlooking gaze never sees
	the overturn  of clouds or brighter sun.  
	shoots of forsythia climb to him,
	and cocoons have hatched Monarchs
	as the rain fumbles like a brigade
	of fading fingers against the glass;
	But his eyes, steady as projectors
	flicker as if the end of something is near;
	the gold on the pier has tired of holding her;
	her opaque form in the cold gray of seasons;
	she disappears in the white flux of sun-spun trees, 
	the hem of a curtain falling upon his hand
	like a tired ghost 
	buried in the glare of its own memory.    
	*I changed the title and tweaked the ending on this.
	I've been doing the whole write a poem a day thing, even though it is not April.
	The ivy bends toward the gray,

	claws at the old brick--

	a red siren muffled by the years. 

	The dawn holds the stars for so long 

	before it sees the morning drain them from the day;  

	 

	the first scene is a ground,

	sheets of ice sunk into the flattened grass

	and sweeping the pane,

	like a hand melting into spring

	trying to wipe the film of past storms,

	but gathering in the corners

	new vignettes.  

	 

	His onlooking gaze never sees

	the overturn  of clouds or brighter sun.  

	 

	shoots of forsythia climb to him,

	and cocoons have hatched Monarchs

	as the rain fumbles like a brigade

	of fading fingers against the glass;

	 

	But his eyes, steady as projectors

	flicker as if the end of something is near;

	the gold on the pier has tired of holding her;

	her opaque form in the cold gray of seasons;

	she disappears in the white flux of sun-spun trees, 

	the hem of a curtain falling upon his hand

	like a tired ghost 

	buried in the glare of its own memory.    
	*I changed the title and tweaked the ending on this.

	 

	I've been doing the whole write a poem a day thing, even though it is not April. ©  on Aug 06 2012 02:29 PM   love  • pain  • sad  • thoughts  • nature     ",Nature
